索引	类别	原始问	英语	分词
0	disability-insurance	法律要求残疾保险吗？	Is  Disability  Insurance  Required  By  Law?	法律 要求 残疾 保险
1	life-insurance	债权人可以在死后人寿保险吗？	Can  Creditors  Take  Life  Insurance  After  Death?	债权人 可以 在 死后 人寿保险
2	renters-insurance	旅行者保险有租赁保险吗？	Does  Travelers  Insurance  Have  Renters  Insurance?	旅行者 保险有 租赁 保险
3	auto-insurance	我可以开一辆没有保险的新车吗？	Can  I  Drive  A  New  Car  Home  Without  Insurance?	我 可以 开 一 辆 没有 保险 新车
4	life-insurance	人寿保险的现金转出价值是否应纳税？	Is  The  Cash  Surrender  Value  Of  Life  Insurance  Taxable?	人寿保险 现金 转出 价值 是否 应纳税
5	annuities	如何报告年金收入？	How  Is  Annuity  Income  Reported?	如何 报告 年金 收入
6	home-insurance	AAA家庭保险涵盖什么？	What  Does  AAA  Home  Insurance  Cover?	AAA 家庭 保险 涵盖 什么
7	retirement-plans	什么是简单的退休计划？	What  Is  A  Simple  Retirement  Plan?	什么 是 简单 退休 计划
8	disability-insurance	社会保险残疾保险是什么？	What  Does  Social  Security  Disability  Insurance  Cover?	社会保险 残疾 保险 是 什么
9	auto-insurance	汽车保险是否预付？	Is  Car  Insurance  Prepaid?	汽车保险 是否 预付
10	medicare-insurance	医疗保险B部分盖什么？	What  Does  Medicare  Part  B  Cover?	医疗保险 B 部分 盖什
11	life-insurance	退伍军人能否获得人寿保险？	Can  Veterans  Get  Life  Insurance?	退伍军人 能否 获得 人寿保险
12	home-insurance	我的房主保险是否包括失去的结婚戒指？	Does  My  Homeowners  Insurance  Cover  Lost  Wedding  Ring?	我 房主 保险 是否 包括 失去 结婚戒指
13	auto-insurance	分配风险汽车保险如何工作？	How  Does  Assigned  Risk  Auto  Insurance  Work?	分配 风险 汽车保险 如何 工作
14	auto-insurance	我的男朋友可以加我的汽车保险吗？	Can  My  Boyfriend  Add  Me  To  His  Car  Insurance?	我 男朋友 可以 加 我 汽车保险
15	auto-insurance	我是否需要提交私人财产车祸索赔的警察报告？	Do  I  Need  A  Police  Report  To  Submit  A  Claim  For  A  Car  Accident  On  Private  Property?	我 是否 需要 提交 私人 财产 车祸 索赔 警察 报告
16	auto-insurance	全覆盖汽车保险盖修理？	Does  Full  Coverage  Auto  Insurance  Cover  Repairs?	全 覆盖 汽车保险 盖修理
17	life-insurance	人生在伊斯兰教中是否可以接受？	Is  Life  Insurance  Acceptable  In  Islam?	人生 在 伊斯兰教 中 是否 可以 接受
18	health-insurance	健康保险是否覆盖管道逆转？	Will  Health  Insurance  Cover  A  Tubal  Reversal?	健康 保险 是否 覆盖 管道 逆转
19	life-insurance	如果您已经诊断为乳腺癌，您可以获得多大的人寿保险？	How  Much  Life  Insurance  Can  You  Get  If  You  Have  Been  Diagnosed  With  Breast  Cancer?	如果 您 已经 诊断 为 乳腺癌 您 可以 获得 多 大 人寿保险
20	medicare-insurance	我需要注册医疗保险？	What  Do  I  Need  To  Register  For  Medicare?	我 需要 注册 医疗保险
